Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,"Cheese Pizza - Large 16"" - Regular Crust","$1,833.84","$1,818.56",108,0," "," ",-,-$15.28,$0.00,2.74%,$16.84,-,-
,"Custom Cheese Pizza - Large 16"" - Regular Crust","$1,095.92","$1,088.03",56,0," "," ",-,-$7.89,$0.00,1.64%,$19.43,-,-
,Small Cheese Pizza,"$1,110.78",$963.43,66,0," "," ",-,-$147.35,$0.00,1.45%,$14.60,-,-
,," "," "," "," ",Crispy/Well Done,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic Butter on Crust,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular,42,$0.00," "," "," "," "," "," "
,," "," "," "," ",Thin Crust,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pesto Sauce,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,53,$0.00," "," "," "," "," "," "
,," "," "," "," ","Extra Large 18""",17,$105.06," "," "," "," "," "," "
,," "," "," "," ","Large 16""",21,$86.52," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",15,$30.90," "," "," "," "," "," "
,," "," "," "," ","Small 12""",13,$0.00," "," "," "," "," "," "
,Delivery Fee,$953.09,$940.72,191,2," "," ",-,-$2.39,-$9.98,1.42%,$4.98,-,-
,Custom 2 Slice and 1 Can of Soda - Single Size,$922.68,$918.49,132,0," "," ",-,-$4.19,$0.00,1.39%,$6.96,-,-
,"Cheese Pizza - Extra Large 18"" - Regular Crust",$721.24,$721.24,38,0," "," ",-,$0.00,$0.00,1.09%,$18.98,-,-
,"Pepperoni Pizza - Large 16"" - Regular Crust",$684.95,$681.04,35,0," "," ",-,-$3.91,$0.00,1.03%,$19.46,-,-
,Custom Wings - 10 Pieces,$644.57,$611.75,43,1," "," ",-,-$17.83,-$14.99,0.92%,$14.57,-,-
,Fettuccini Alfredo,$569.89,$569.89,39,0," "," ",-,$0.00,$0.00,0.86%,$14.61,-,-
,," "," "," "," ",Chicken,7,$17.50," "," "," "," "," "," "
,," "," "," "," ",Chicken and Broccoli,9,$26.91," "," "," "," "," "," "
,," "," "," "," ",Shrimp,3,$11.97," "," "," "," "," "," "
,," "," "," "," ",Alfredo Sauce,3,$11.97," "," "," "," "," "," "
,," "," "," "," ",Fettucini,34,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ziti,2,$0.00," "," "," "," "," "," "
,"Custom Cheese Pizza - Extra Large 18"" - Regular Crust",$549.25,$549.25,25,0," "," ",-,$0.00,$0.00,0.83%,$21.97,-,-
,Fettuccini Alfredo,$621.83,$538.66,39,0," "," ",-,-$83.17,$0.00,0.81%,$13.81,-,-
,," "," "," "," ",Alfredo Sauce,7,$27.93," "," "," "," "," "," "
,," "," "," "," ",Broccoli,2,$3.98," "," "," "," "," "," "
,," "," "," "," ",Chicken,18,$45.00," "," "," "," "," "," "
,," "," "," "," ",Chicken and Broccoli,7,$20.93," "," "," "," "," "," "
,," "," "," "," ",Meat Sauce,1,$2.50," "," "," "," "," "," "
,," "," "," "," ",Shrimp,5,$19.95," "," "," "," "," "," "
,," "," "," "," ",Fettucini,37,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,2,$0.00," "," "," "," "," "," "
,"Cheese Pizza - Medium 14"" - Regular Crust",$539.64,$526.37,36,0," "," ",-,-$13.27,$0.00,0.79%,$14.62,-,-
