Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:29 AM"
Filters: Item Type = Revenue Items

Items: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$428,973.00"
Net Sales,"$426,703.17"
COGS,"$14,420.34"
Gross Profit,"$403,932.21"
Gross Profit Margin,94.66%

Name,Gross Sales,Net Sales,Sold,Refunded,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
ITALIAN SUB DELI,"$11,621.54","$11,617.04",646,0,-$4.50,$0.00,$0.00,2.72%,$17.98,$0.00,"$11,617.04"
Tito's Handmade Vodka 1.75 L,"$10,249.67","$9,657.67",233,0,-$592.00,$0.00,$0.00,2.26%,$41.45,$0.00,"$9,657.67"
CAYMUS NAPA CABERNET S. WINE-MISC 1.0L CAYMUS NAPA CABERNET S. WINE-MISC 1.0L,"$5,299.47","$5,254.47",53,0,-$45.00,$0.00,$0.00,1.23%,$99.14,$0.00,"$5,254.47"
PHILLY STEAK SUB DELI,"$5,146.29","$5,127.30",271,0,-$18.99,$0.00,$0.00,1.20%,$18.92,$0.00,"$5,127.30"
VEUVE CLICQUOT BRUT CHAMPAGNE 750ML,"$4,799.20","$4,719.20",80,0,-$80.00,$0.00,$0.00,1.11%,$58.99,$0.00,"$4,719.20"
Deli Meats,"$4,659.98","$4,659.98",568,0,$0.00,$0.00,$0.00,1.09%,$8.20,$0.00,"$4,659.98"
Far Niente Cabernet Sauvignon 750ml,"$4,619.67","$4,619.67",33,0,$0.00,$0.00,$0.00,1.08%,$139.99,$0.00,"$4,619.67"
Turkey Sub,"$4,509.18","$4,505.18",282,0,-$4.00,$0.00,$0.00,1.06%,$15.98,$0.00,"$4,505.18"
Buffalo Trace Bourbon 1L,"$4,319.28","$4,319.28",72,0,$0.00,$0.00,$0.00,1.01%,$59.99,$0.00,"$4,319.28"
PRESSED CUBAN SUB DELI,"$4,083.73","$4,079.23",227,0,-$4.50,$0.00,$0.00,0.96%,$17.97,$0.00,"$4,079.23"
JOHNNIE WALKER BLUE LABEL  SCOTCH WHISKY 750mL JOHNNIE WALKER BLUE SCOTCH WHISKY WHIS-SCOTCH .100L,"$3,499.86","$3,499.86",14,0,$0.00,$0.00,$0.00,0.82%,$249.99,$0.00,"$3,499.86"
TITO'S VODKA 750ML,"$3,478.84","$3,478.84",116,0,$0.00,$0.00,$0.00,0.82%,$29.99,$0.00,"$3,478.84"
ROAST BEEF SUB ROAST BEEF DELI DELI .100L,"$3,256.19","$3,254.39",181,0,-$1.80,$0.00,$0.00,0.76%,$17.98,$0.00,"$3,254.39"
SURFSIDE LEMONADE 8 PACK,"$3,040.83","$3,040.83",117,0,$0.00,$0.00,$0.00,0.71%,$25.99,"$1,671.93","$1,368.90"
CANTENA ZAPATA ARGENTINO MALBEC 750ML,"$2,903.76","$2,903.76",24,0,$0.00,$0.00,$0.00,0.68%,$120.99,$0.00,"$2,903.76"
Caymus Cabernet Sauvignon 750ml,"$2,869.59","$2,869.59",41,0,$0.00,$0.00,$0.00,0.67%,$69.99,$0.00,"$2,869.59"
CUBAN STEAK SUB DELI,"$2,734.56","$2,729.81",144,0,-$4.75,$0.00,$0.00,0.64%,$18.96,$0.00,"$2,729.81"
Key Lime Pie Full,"$2,638.68","$2,638.68",132,0,$0.00,$0.00,$0.00,0.62%,$19.99,$0.00,"$2,638.68"
Custom Sandwiches,"$2,473.35","$2,471.85",165,0,-$1.50,$0.00,$0.00,0.58%,$14.98,$0.00,"$2,471.85"
MICHELOB ULTRA  12PACK CANS,"$2,413.95","$2,413.95",105,0,$0.00,$0.00,$0.00,0.57%,$22.99,$0.00,"$2,413.95"
SURFSIDE STARTER 8PACK VODKA,"$2,313.11","$2,313.11",89,0,$0.00,$0.00,$0.00,0.54%,$25.99,"$1,271.81","$1,041.30"
CLASE AZUL TEQUILA REPOSADO 750ML,"$2,199.90","$2,199.90",10,0,$0.00,$0.00,$0.00,0.52%,$219.99,$0.00,"$2,199.90"
MALIBU COCONUT RUM 1.75L,"$2,039.49","$2,039.49",51,0,$0.00,$0.00,$0.00,0.48%,$39.99,$0.00,"$2,039.49"
CALIFORNIA TURKEY WRAP DELI,"$2,032.87","$2,032.87",113,0,$0.00,$0.00,$0.00,0.48%,$17.99,$0.00,"$2,032.87"
Key Lime Pie Chocolate Bar,"$1,975.10","$1,975.10",290,0,$0.00,$0.00,$0.00,0.46%,$6.81,$0.00,"$1,975.10"
3BOTTLE SALE CAYMUS CAB SAUV 1L,"$1,979.78","$1,972.43",22,0,-$7.35,$0.00,$0.00,0.46%,$89.66,$0.00,"$1,972.43"
CAPTAIN MORGAN SPICED RUM 1.75L PLASTIC,"$1,861.51","$1,861.51",49,0,$0.00,$0.00,$0.00,0.44%,$37.99,$0.00,"$1,861.51"
GREY GOOSE VODKA 1.75L GREY GOOSE VODKA LIQUOR-MISC 1.75L,"$1,859.69","$1,849.69",31,0,-$10.00,$0.00,$0.00,0.43%,$59.67,$0.00,"$1,849.69"
BONANZA CABERNET SAUVIGNON WINE-MISC 750 m BONANZA CABERNET SAUVIGNON WINE-MISC 750 m,"$1,852.97","$1,784.77",103,0,-$68.20,$0.00,$0.00,0.42%,$17.33,$0.00,"$1,784.77"
Crown Royal Canadian Whisky 1.75L,"$1,799.70","$1,767.70",30,0,-$32.00,$0.00,$0.00,0.41%,$58.92,$0.00,"$1,767.70"
DON JULIO TEQUILA ANEJO  1942 TEQUILA 750ml DON JULIO TEQUILA ANEJO  1942 TEQUILA .100L,"$1,799.91","$1,749.91",9,0,-$50.00,$0.00,$0.00,0.41%,$194.43,$0.00,"$1,749.91"
SANTA MARGHERITA PINOT GRIGIO WINE 750ML SANTA MARGHERITA PINOT GRIGIO WINE-IMPORTED .750L,"$1,724.31","$1,712.31",69,0,-$12.00,$0.00,$0.00,0.40%,$24.82,$0.00,"$1,712.31"
TITO'S VODKA  1L,"$1,644.53","$1,644.53",47,0,$0.00,$0.00,$0.00,0.39%,$34.99,$0.00,"$1,644.53"
Casamigos Blanco 750ML,"$1,609.77","$1,609.77",23,0,$0.00,$0.00,$0.00,0.38%,$69.99,$0.00,"$1,609.77"
WHITEHAVEN SAUVIGNON BLANC 750ML,"$1,595.16","$1,595.16",84,0,$0.00,$0.00,$0.00,0.37%,$18.99,$0.00,"$1,595.16"
Custom Sub Deli,"$1,599.20","$1,594.20",80,0,-$5.00,$0.00,$0.00,0.37%,$19.93,$0.00,"$1,594.20"
PAPAS PILAR DARK RUM 750ML,"$1,549.69","$1,549.69",31,0,$0.00,$0.00,$0.00,0.36%,$49.99,$0.00,"$1,549.69"
