Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:30 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$289,728.26"
Net Sales,"$287,800.86"
COGS,$0.00
Gross Profit,"$186,882.30"
Gross Profit Margin,64.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,uber,"$1,284.65","$1,284.65",1,0," "," ",-,$0.00,$0.00,$0.00,0.45%,"$1,284.65",-,-
,uber sales,"$1,260.00","$1,260.00",1,0," "," ",-,$0.00,$0.00,$0.00,0.44%,"$1,260.00",-,-
,Mini Poke x125,"$1,250.00","$1,250.00",1,0," "," ",-,$0.00,$0.00,$0.00,0.43%,"$1,250.00",-,-
,uber sales,"$1,189.36","$1,189.36",1,0," "," ",-,$0.00,$0.00,$0.00,0.41%,"$1,189.36",-,-
,uber 7/2,"$1,180.80","$1,180.80",1,0," "," ",-,$0.00,$0.00,$0.00,0.41%,"$1,180.80",-,-
,uber sales,"$1,171.90","$1,171.90",1,0," "," ",-,$0.00,$0.00,$0.00,0.41%,"$1,171.90",-,-
,uber,"$1,122.80","$1,122.80",1,0," "," ",-,$0.00,$0.00,$0.00,0.39%,"$1,122.80",-,-
,uber,"$1,055.80","$1,055.80",1,0," "," ",-,$0.00,$0.00,$0.00,0.37%,"$1,055.80",-,-
,uber sales,"$1,040.00","$1,040.00",1,0," "," ",-,$0.00,$0.00,$0.00,0.36%,"$1,040.00",-,-
,uber,"$1,031.95","$1,031.95",1,0," "," ",-,$0.00,$0.00,$0.00,0.36%,"$1,031.95",-,-
,uber,"$1,024.15","$1,024.15",1,0," "," ",-,$0.00,$0.00,$0.00,0.36%,"$1,024.15",-,-
,uber,"$1,017.05","$1,017.05",1,0," "," ",-,$0.00,$0.00,$0.00,0.35%,"$1,017.05",-,-
,uber,"$1,004.15","$1,004.15",1,0," "," ",-,$0.00,$0.00,$0.00,0.35%,"$1,004.15",-,-
,uber,$964.35,$964.35,1,0," "," ",-,$0.00,$0.00,$0.00,0.34%,$964.35,-,-
,uber sales,$962.75,$962.75,1,0," "," ",-,$0.00,$0.00,$0.00,0.33%,$962.75,-,-
,uber sales,$961.05,$961.05,1,0," "," ",-,$0.00,$0.00,$0.00,0.33%,$961.05,-,-
,uber sales,$947.60,$947.60,1,0," "," ",-,$0.00,$0.00,$0.00,0.33%,$947.60,-,-
,uber sales,$943.20,$943.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.33%,$943.20,-,-
,uber,$939.55,$939.55,1,0," "," ",-,$0.00,$0.00,$0.00,0.33%,$939.55,-,-
,uber sales,$929.65,$929.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$929.65,-,-
,uber,$929.20,$929.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$929.20,-,-
,uber,$927.50,$927.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$927.50,-,-
,uber,$915.80,$915.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$915.80,-,-
,uber,$915.50,$915.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$915.50,-,-
,uber,$909.60,$909.60,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$909.60,-,-
,uber,$908.25,$908.25,1,0," "," ",-,$0.00,$0.00,$0.00,0.32%,$908.25,-,-
,uber,$900.41,$900.41,1,0," "," ",-,$0.00,$0.00,$0.00,0.31%,$900.41,-,-
,uber,$894.85,$894.85,1,0," "," ",-,$0.00,$0.00,$0.00,0.31%,$894.85,-,-
,uber,$884.50,$884.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.31%,$884.50,-,-
,uber,$879.10,$879.10,1,0," "," ",-,$0.00,$0.00,$0.00,0.31%,$879.10,-,-
,uber sales,$853.35,$853.35,1,0," "," ",-,$0.00,$0.00,$0.00,0.30%,$853.35,-,-
